Value,Package,ToPackage,ToCode
74LS174,DIL16,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS174DR?qs=1K8%2FAQHn5WQhMQC6QKmQtQ%3D%3D
74LS175,DIL16,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS175DR?qs=SL3LIuy2dWx6xZTuuqz08w%3D%3D
74LS194,DIL16,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS194AD?qs=SL3LIuy2dWyQbcrd0iQ7mw%3D%3D
74LS20,DIL14,SOIC127P600X175-14N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS20DR?qs=SL3LIuy2dWy0M2AUfsz%2Fvw%3D%3D
74LS21,DIL14,SOIC127P600X175-14N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS21DR?qs=SL3LIuy2dWyPPAPwa0NRqg%3D%3D
74LS245,DIL20,SOIC127P1030X265-20N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS245DWR?qs=w32V8uFkMxmdnuKq6FiFpw%3D%3D
74LS251,DIL16,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS251DR?qs=SL3LIuy2dWxdxQFSECVB%252Bg%3D%3D
74LS257,DIL16,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS257BD?qs=w32V8uFkMxmoIw8HEV54bg%3D%3D
74LS258,DIL16,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS258BDR?qs=SL3LIuy2dWwN7JNf%2FTycZg%3D%3D
74LS27,DIL14,SOIC127P600X175-14N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS27DR?qs=sGAEpiMZZMutXGli8Ay4kP28D9wZ8SQIfOvGfytTqpc%3D
74LS273,DIL20,SOIC127P780X200-20N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS273NSR?qs=SL3LIuy2dWxsq%2FCTeVMKZg%3D%3D
74LS283,DIL16,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS283D?qs=RnzODY3cU8uoUhrsuMKPjw%3D%3D
74LS32,DIL14,SOIC127P600X175-14N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS32DR?qs=SL3LIuy2dWwtfBSQ6o0JPg%3D%3D
74LS368,DIL16,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS368AD?qs=SL3LIuy2dWyIGR1nOmwsZA%3D%3D
74LS373,DIL20,SOIC127P1030X265-20N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS373DWR?qs=4FFjqLL55bR6x3WZek%252BFgQ%3D%3D
74LS374,DIL20,SOIC127P1030X265-20N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS374DWR?qs=SL3LIuy2dWx46uWPzrGxvw%3D%3D
74LS540,DIL20,SOIC127P1030X265-20N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS540DWR?qs=SL3LIuy2dWzP7KZ%252BteNK1A%3D%3D
74LS74,DIL14,SOIC127P600X175-14N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS74ADR?qs=UG%2F8xqv%2F6WdOEnCo3YslYA%3D%3D
74LS85,DIL16,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS85DR?qs=UG%2F8xqv%2F6Wcr2VkhPBBoGA%3D%3D
74LS86,DIL14,SOIC127P600X175-14N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS86ADR?qs=UG%2F8xqv%2F6WeQUT2f2bzDnQ%3D%3D
7400,DIL14,SOIC127P600X175-14N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS00DR?qs=p6YqzpSxLIxQ8nxlHdhQUQ%3D%3D
7402,DIL14,SOIC127P600X175-14N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS02DR?qs=SL3LIuy2dWwMb1IRls9bqA%3D%3D
7404,DIL14,SOIC127P600X175-14N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS04DR?qs=SL3LIuy2dWzOhepjTMFpMg%3D%3D
7408,DIL14,SOIC127P600X175-14N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS08DR?qs=SL3LIuy2dWwzq5fnFo78kw%3D%3D
7410,DIL14,SOIC127P600X175-14N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS10DR?qs=sGAEpiMZZMutXGli8Ay4kP28D9wZ8SQI5p3xXbui0l0%3D
7411,DIL14,SOIC127P600X175-14N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS11DR?qs=sGAEpiMZZMutXGli8Ay4kP28D9wZ8SQIaoHi3xvjif4%3D
74138,DIL16,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS138DR?qs=SL3LIuy2dWwYDw%252Bne7f7PA%3D%3D
74139,DIL16,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS139ADR?qs=SL3LIuy2dWwpYzaAOf%252BnlA%3D%3D
74148,DIL16,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS148DR?qs=N6WZOzgtpqUYbR2JHrDnOg%3D%3D
74153,DIL16,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS153DR?qs=SL3LIuy2dWyFs2m7ewa9VQ%3D%3D
74157,DIL16,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS157DR?qs=SL3LIuy2dWw%2F%252Bp7AA8LUjg%3D%3D
74161,DIL16,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS161ADR?qs=SL3LIuy2dWx%252BNiLsCGC3nA%3D%3D
74163,DIL16,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS163ADR?qs=SL3LIuy2dWzQOqYS%2FWj%252BhA%3D%3D
74174,DIL16,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS174DR?qs=1K8%2FAQHn5WQhMQC6QKmQtQ%3D%3D
74175,DIL16,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS175DR?qs=SL3LIuy2dWx6xZTuuqz08w%3D%3D
74194,DIL16,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS194AD?qs=SL3LIuy2dWyQbcrd0iQ7mw%3D%3D
7420,DIL14,SOIC127P600X175-14N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS20DR?qs=SL3LIuy2dWy0M2AUfsz%2Fvw%3D%3D
7421,DIL14,SOIC127P600X175-14N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS21DR?qs=SL3LIuy2dWyPPAPwa0NRqg%3D%3D
74245,DIL20,SOIC127P1030X265-20N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS245DWR?qs=w32V8uFkMxmdnuKq6FiFpw%3D%3D
74251,DIL16,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS251DR?qs=SL3LIuy2dWxdxQFSECVB%252Bg%3D%3D
74257,DIL16,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS257BD?qs=w32V8uFkMxmoIw8HEV54bg%3D%3D
74258,DIL16,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS258BDR?qs=SL3LIuy2dWwN7JNf%2FTycZg%3D%3D
7427,DIL14,SOIC127P600X175-14N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS27DR?qs=sGAEpiMZZMutXGli8Ay4kP28D9wZ8SQIfOvGfytTqpc%3D
74273,DIL20,SOIC127P780X200-20N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS273NSR?qs=SL3LIuy2dWxsq%2FCTeVMKZg%3D%3D
74283,DIL16,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS283D?qs=RnzODY3cU8uoUhrsuMKPjw%3D%3D
7432,DIL14,SOIC127P600X175-14N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS32DR?qs=SL3LIuy2dWwtfBSQ6o0JPg%3D%3D
74368,DIL16,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS368AD?qs=SL3LIuy2dWyIGR1nOmwsZA%3D%3D
74373,DIL20,SOIC127P1030X265-20N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS373DWR?qs=4FFjqLL55bR6x3WZek%252BFgQ%3D%3D
74374,DIL20,SOIC127P1030X265-20N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS374DWR?qs=SL3LIuy2dWx46uWPzrGxvw%3D%3D
74540,DIL20,SOIC127P1030X265-20N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS540DWR?qs=SL3LIuy2dWzP7KZ%252BteNK1A%3D%3D
7474,DIL14,SOIC127P600X175-14N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS74ADR?qs=UG%2F8xqv%2F6WdOEnCo3YslYA%3D%3D
7485,DIL16,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS85DR?qs=UG%2F8xqv%2F6Wcr2VkhPBBoGA%3D%3D
7486,DIL14,SOIC127P600X175-14N-CAP,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS86ADR?qs=UG%2F8xqv%2F6WeQUT2f2bzDnQ%3D%3D
