Category,References,Value,Stock Code,Description,Group Layer,PCB Package,Supplier,Placed
Resistors,R50,442,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55442R00FHEB?qs=gQQ%2FpDEpiRKHk7nNPbIyfA%3D%3D,Generic resistor symbol,Video,RES40,,Not placed
Resistors,R51,442,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55442R00FHEB?qs=gQQ%2FpDEpiRKHk7nNPbIyfA%3D%3D,Generic resistor symbol,Video,RES40,,Not placed
Resistors,R52,221,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55221R00FKEB?qs=gQ87q99%2FLGLtVGUX15QkBw%3D%3D,Generic resistor symbol,Video,RES40,,Not placed
Resistors,R53,442,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55442R00FHEB?qs=gQQ%2FpDEpiRKHk7nNPbIyfA%3D%3D,Generic resistor symbol,Video,RES40,,Not placed
Resistors,R54,221,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55221R00FKEB?qs=gQ87q99%2FLGLtVGUX15QkBw%3D%3D,Generic resistor symbol,Video,RES40,,Not placed
Resistors,R55,442,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55442R00FHEB?qs=gQQ%2FpDEpiRKHk7nNPbIyfA%3D%3D,Generic resistor symbol,Video,RES40,,Not placed
Resistors,R56,221,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55221R00FKEB?qs=gQ87q99%2FLGLtVGUX15QkBw%3D%3D,Generic resistor symbol,Video,RES40,,Not placed
Resistors,R57,442,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55442R00FHEB?qs=gQQ%2FpDEpiRKHk7nNPbIyfA%3D%3D,Generic resistor symbol,Video,RES40,,Not placed
Resistors,R60,442,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55442R00FHEB?qs=gQQ%2FpDEpiRKHk7nNPbIyfA%3D%3D,Generic resistor symbol,Video,RES40,,Not placed
Resistors,R61,442,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55442R00FHEB?qs=gQQ%2FpDEpiRKHk7nNPbIyfA%3D%3D,Generic resistor symbol,Video,RES40,,Not placed
Resistors,R62,221,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55221R00FKEB?qs=gQ87q99%2FLGLtVGUX15QkBw%3D%3D,Generic resistor symbol,Video,RES40,,Not placed
Resistors,R63,442,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55442R00FHEB?qs=gQQ%2FpDEpiRKHk7nNPbIyfA%3D%3D,Generic resistor symbol,Video,RES40,,Not placed
Resistors,R64,221,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55221R00FKEB?qs=gQ87q99%2FLGLtVGUX15QkBw%3D%3D,Generic resistor symbol,Video,RES40,,Not placed
Resistors,R65,442,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55442R00FHEB?qs=gQQ%2FpDEpiRKHk7nNPbIyfA%3D%3D,Generic resistor symbol,Video,RES40,,Not placed
Resistors,R66,221,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55221R00FKEB?qs=gQ87q99%2FLGLtVGUX15QkBw%3D%3D,Generic resistor symbol,Video,RES40,,Not placed
